Date,LF98TRUU,LUACTRUU,BCOMTR,Russell2000,Russell1000,SPXT
9/30/2008,809.78,1530.7,335.748,813.5982,804.1926,2862.3939
8/29/2008,879.98,1659.64,379.496,884.0441,888.9437,3142.4252
7/31/2008,876.91,1647.79,409.311,853.2366,876.8709,3097.6193
6/30/2008,888.75,1660.2,464.357,822.7987,887.2141,3123.8793
5/30/2008,914.31,1670.89,425.629,891.426,967.5981,3411.4996
4/30/2008,911.02,1686.99,414.302,852.2769,950.1897,3367.8773
3/31/2008,873.38,1671.7,400.046,818.0324,904.3619,3211.4665
2/29/2008,876.4,1693.21,427.135,814.6478,910.542,3225.4107
1/31/2008,888.52,1691.33,380.406,846.017,939.256,3333.708
12/31/2007,900.54,1674.29,364.99,907.9563,999.1644,3546.4289
11/30/2007,897.92,1671.65,348.831,908.6788,1005.8264,3571.3611
10/31/2007,917.83,1661.7,360.125,979.0132,1049.9053,3724.1523
9/28/2007,912.36,1641.98,348.507,951.7075,1031.9316,3665.8418
8/31/2007,889.09,1629.43,322.678,935.6562,993.9934,3533.7234
7/31/2007,877.13,1616.35,334.836,914.9721,980.7518,3481.5353
6/29/2007,909.33,1612.62,328.029,982.2479,1012.0795,3592.934
5/31/2007,925.96,1620.55,332.676,996.672,1031.8035,3653.6728
4/30/2007,919.09,1636.91,332.246,957.456,995.9363,3530.5015
3/30/2007,907.3,1624.99,328.452,940.4972,955.7619,3380.7516
2/28/2007,906.34,1634.36,325.281,930.5288,945.9754,3343.3954
1/31/2007,893.84,1601.38,314.684,937.9948,962.5505,3410.0881
12/29/2006,883.97,1601.26,314.023,922.5629,944.3625,3359.2859
11/30/2006,874.37,1615.96,329.14,919.5336,932.5238,3313.1057
10/31/2006,859.92,1592.61,312.073,896.125,913.0759,3251.2726
9/29/2006,848.38,1579.83,297.94,847.3421,883.0905,3148.6688
8/31/2006,836.52,1561.94,317.029,840.2729,862.6359,3069.6409
7/31/2006,823.17,1533.37,328.881,816.1345,842.4368,2998.3021
6/30/2006,815.19,1511.29,318.652,843.6126,840.5915,2979.9204
5/31/2006,818.06,1509.39,323.681,838.2523,839.5117,2975.9654
4/28/2006,818.17,1511.94,320.614,888.1387,865.0822,3064.1559
3/31/2006,813.16,1517.25,300.257,888.3198,854.8241,3023.5564
2/28/2006,808.32,1538.94,293.724,847.2035,842.8996,2986.4256
1/31/2006,802.96,1532.02,313.34,849.5701,841.0651,2978.3526
12/30/2005,790.35,1535.25,307.65,779.6537,818.1449,2901.5263
11/30/2005,783.62,1519.88,298.144,783.331,817.0346,2900.6457
10/31/2005,779.55,1511,297.376,747.153,787.1792,2794.936
9/30/2005,785.03,1528.65,317.316,771.1011,801.2361,2842.3184
8/31/2005,792.94,1553.73,303.209,768.6665,793.8808,2819.4832
7/29/2005,791.43,1530.31,281.929,783.2197,800.8105,2845.438
6/30/2005,777.83,1545.57,269.832,736.56,770.8333,2743.4171
5/31/2005,762.86,1533,265.365,709.2117,767.6955,2739.5276
4/29/2005,749.55,1512.21,267.441,665.6455,741.4148,2655.0483
3/31/2005,756.93,1492.85,284.012,706.0863,755.3443,2706.3755
2/28/2005,779.6,1512.9,274.235,726.9433,767.5169,2755.1634
1/31/2005,768.3,1521.97,256.14,714.8513,750.6382,2698.3789
12/31/2004,769.3,1509.94,253.495,745.996,770.0404,2765.7941
11/30/2004,758,1489.56,266.586,724.6169,743.2252,2674.8579
10/29/2004,748.97,1504.87,269.818,666.9152,712.7316,2570.8381
9/30/2004,735.68,1490.32,265.328,654.0532,701.4159,2532.1534
8/31/2004,725.15,1481.2,248.326,624.721,692.6698,2505.0215
7/30/2004,711.2,1446.8,252.936,627.9728,689.2682,2494.9572
6/30/2004,701.66,1429.02,248.545,673.307,714.3225,2580.3607
5/31/2004,691.74,1422.74,259.296,646.0823,701.6695,2531.1416
4/30/2004,703.66,1433.11,254.973,635.9652,691.6582,2496.8986
3/31/2004,708.48,1479.63,259.577,670.1391,704.3943,2536.7205
2/27/2004,703.7,1465.79,251.802,664.0303,714.1402,2575.5803
1/30/2004,705.47,1447.76,236.46,658.1039,704.3849,2540.2853
12/31/2003,692.26,1432.74,232.249,630.7293,691.2457,2494.4995
11/28/2003,676.93,1416.61,216.296,618.0132,659.6693,2370.2273
10/31/2003,666.82,1409.45,216.979,596.9009,651.8594,2349.5923
9/30/2003,653.62,1424.43,207.089,550.6688,615.7757,2223.8704
8/29/2003,636.23,1375.19,206.916,561.0346,622.1495,2247.7558
7/31/2003,629,1363.85,199.055,536.4407,609.7741,2204.7719
6/30/2003,635.99,1425.78,197.865,504.8568,597.8813,2166.6491
5/30/2003,618.21,1429.05,202.881,495.8851,590.1162,2139.3683
4/30/2003,611.89,1384.19,191.676,447.827,558.2851,2032.3006
3/31/2003,577.62,1357.1,192.877,409.0427,516.5914,1877.6781
2/28/2003,561.47,1356.52,208.617,403.8412,511.2943,1859.6422
1/31/2003,554.63,1329.21,201.826,416.4265,519.3286,1887.9688
12/31/2002,536.76,1323.64,187.401,428.2791,532.2277,1938.7576
11/29/2002,529.36,1284.42,178.653,453.5443,564.1623,2059.7838
10/31/2002,498.48,1264.65,178.148,416.4003,532.9704,1945.2849
9/30/2002,502.87,1281.86,180.005,403.4657,492.0847,1787.9198
8/30/2002,509.56,1257.87,173.472,434.6855,551.2912,2005.9224
7/31/2002,495.43,1225.37,166.896,435.7959,548.4161,1992.872
6/28/2002,518.06,1229.84,167.805,513.3285,592.2476,2161.3528
5/31/2002,559.3,1229.72,164.612,540.1313,639.3881,2326.9005
4/30/2002,562.2,1212.66,167.183,565.2087,645.0796,2344.1844
3/29/2002,553.57,1197.56,167.182,560.1049,684.2845,2495.5004
2/28/2002,540.56,1220.23,151.673,518.4443,657.2765,2405.0637
1/31/2002,548.21,1212.23,147.842,533.0595,670.6357,2452.3941
12/31/2001,544.42,1202.03,148.843,538.6615,679.2633,2488.7076
11/30/2001,546.65,1210.79,151.834,507.3535,672.101,2467.0906
10/31/2001,527.41,1221.11,150.67,470.9071,624.0468,2291.3117
9/28/2001,514.68,1191.78,158.178,444.8714,611.3193,2248.47
8/31/2001,551.76,1195.79,169.62,514.0908,667.969,2446.0242
7/31/2001,545.33,1180.46,169.694,531.2486,711.3248,2609.3682
6/29/2001,537.42,1149.31,167.513,561.5236,721.1739,2635.3366
5/31/2001,552.93,1143.59,174.471,542.7836,737.8476,2701.0957
4/30/2001,543.15,1133.53,178.208,529.7659,732.8926,2683.1217
3/30/2001,550,1137.25,172.151,491.3408,678.3859,2489.6698
2/28/2001,563.26,1130.31,179.812,516.6138,726.6469,2658.0569
1/31/2001,555.86,1120.84,180.573,552.9018,801.391,2924.7647
12/29/2000,517.12,1089.65,184.917,525.5555,775.8744,2824.553
11/30/2000,507.32,1069.71,179.184,483.9978,766.6104,2810.8159
10/31/2000,528.24,1057.16,165.847,539.3673,843.7692,3051.3708
9/29/2000,545.72,1056.9,169.956,564.5733,854.0544,3064.3422
8/31/2000,550.53,1051.14,171.018,581.6803,895.6296,3235.1441
7/31/2000,546.79,1038.15,155.704,540.5512,832.3752,3045.9457
6/30/2000,542.65,1025.71,163.916,558.5209,846.4296,3094.1311
5/31/2000,531.82,1000.58,160.137,513.9395,825.4298,3019.6879
4/28/2000,537.33,1004.32,150.039,545.7506,847.3495,3082.9584
3/31/2000,536.47,1013.22,151.904,580.669,876.5718,3178.6082
2/29/2000,547.99,1004.66,150.446,621.6567,803.3715,2895.3536
1/31/2000,546.93,995.43,147.861,533.5545,805.5358,2951.2443
12/31/1999,549.3,998.95,140.257,542.276,839.9231,3107.3658
11/30/1999,543.19,1004.27,136.338,487.1806,792.1922,2934.5711
10/29/1999,536.88,1003.2,133.214,459.7399,772.3588,2876.1171
9/30/1999,540.47,998.61,138.712,457.8882,723.7111,2704.9644
8/31/1999,544.39,987.88,131.852,457.7949,744.1719,2781.213
7/30/1999,550.47,990.29,124.623,475.2473,751.2155,2795.0068
6/30/1999,548.27,995.8,122.469,488.6646,774.874,2885.1213
5/31/1999,549.44,1001.02,115.987,466.703,737.2477,2733.4233
4/30/1999,556.98,1014.59,123.581,460.8163,753.541,2799.5392
3/31/1999,546.39,1011.63,118.779,422.9187,723.2813,2695.189
2/26/1999,541.23,1004.52,108.391,416.4266,696.6028,2591.5086
1/29/1999,544.43,1028.94,112.304,453.1304,719.4257,2674.6538
12/31/1998,536.47,1018.87,112.796,447.1853,694.6432,2567.299
11/30/1998,535.88,1015.92,116.76,421.1156,653.0563,2427.4694
10/30/1998,514.53,997.13,125.826,400.1534,614.9666,2288.7579
9/30/1998,525.29,1012.75,129.683,384.4598,569.9468,2116.6122
8/31/1998,522.93,980.97,120.346,356.5548,533.981,1989.1757
7/31/1998,553.47,976.4,128.487,442.4675,627.8357,2325.3861
6/30/1998,550.34,977.32,136.722,481.4406,635.4986,2350.5092
5/29/1998,548.37,970.15,139.721,480.3772,612.8037,2258.7805
4/30/1998,546.47,958.77,146.959,507.7188,626.3786,2298.3553
3/31/1998,544.32,952.75,148.907,504.8983,620.0282,2275.5872
2/27/1998,539.26,949.24,148.477,484.9098,590.2624,2164.7502
1/30/1998,536.12,949.55,155.15,451.5279,550.9816,2019.1231
12/31/1997,526.64,938.42,154.579,458.7614,546.9185,1997.1256
